restaurent_name,location,ratings,number_of_rating,Food Item Name,item_prices,item_description,category
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Bachpan Ka Pyaar Mini Waffle Combo,549,Save Rs. 62 flat and enjoy the Best of BWC for him & her. Combo includes Mini Waffles pack of 4 - Assorted and Chocolate Range,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Yaaro Ka Waffle Combo,449,Save Rs. 44 flat and enjoy the Top sellers with your tribe this Valentine. Combo includes Naked Nutella Waffle + Triple Chocolate Waffle + Red Velvet Waffle,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Ek Main Hu Aur Ekk Tu Combo,349,Save Rs. 31 flat and enjoy the delicious Waffle Sundaes. Combo Includes Rocky Road Sundae & Triple Cookie Sundae,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Keep Cake & Celebrate Valentines + 1 Free Delight,530,"Choose any one double-layer waffle cake, Death by chocolate Waffle Cake / Red velvet waffle Cake / Kiki and Oreo Cream waffle cake and select 1 FREE waffle or pancake from our top picks.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Chocolate Oats Pancake & Waffle Mix,214,"Now enjoy your favourite, 100% vegetarian, original waffles and pancakes at home with the belgian waffle co. Pancake and waffle premix. This super easy 3-step premix requires you to just mix, cook, and enjoy! Try our original, multigrain or chocolate oats variants with toppings of your choice. Get 10% off on mrp.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Milk Chocolate Spread,236.55,"A delicious, creamy smooth spread from your favourite, The Belgian Waffle Co. Spread it onto your favourites or to magically transform something into your new favourite.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Chocolate Waffle Crisps,114.28,"Thin, crunchy, wholesome and delightfully addictive. Uniquely rich flavours that evoke nostalgic tastes. From the creators of the original waffwich, these baked waffle crisps with just the right chocolate drizzle make for the perfect bite-sized and versatile snack that is sure to hit the spot. Enjoy with coffee or tea, ice cream or cake, nut butters or spreads, or just on its delicious own.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Stroopwafel x 4,350.40,Introducing new thin and crispy waffle cookie sandwiched and drizzled with delicious chocolate! Pick any 4 of your choice.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Belgian Chocolate Milk Waffle,145.71,Classic crispy waffle + melted belgian milk chocolate. Simplicity at its best.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Naked Nutella Waffle,172.38,Classic crispy waffle + premium european chocolate hazelnut spread (add banana if you like). A universal favorite.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Kitkat Waffle,155.24,Classic crispy waffle + melted belgian white chocolate and kit kat bits. Kit kat lovers.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Dark & White Fantasy Waffle,155.24,Signature dark chocolate batter + fondant of melted belgian white chocolate. A match made in heaven.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Triple Chocolate Waffle,165.71,"Signature dark chocolate batter + 3 layers of white, milk and dark melted belgian chocolate. The most indulgent chocolate waffle.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Red Velvet Waffle,155.24,Original red velvet waffle + philadelphia style cream cheese and melted belgian white chocolate. A true original.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Pink Almond Crunch Waffle,145.71,Original Red Velvet Waffle + Roasted Almond bits in a creamy cotton candy filling. Re-live your childhood memories,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Cashewnut Butter Waffle,165.71,Classic crispy waffle + creamy cashewnut butter with melted chocolate swirl.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Rocky Road Waffle,184.76,Signature Dark Chocolate Waffles + Vanilla Ice Cream + Oreos + Roasted Almonds + Fudge. Simply Majestic.,Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Chocolate Mini Waffle Combo Pack of 4,309.52,"Cant pick one try a carefully curated assortment of our bestseller chocolate favorites. Includes our naked nutella, belgian chocolate, chocolate overload and dark & white fantasy mini waffles all in one combo pack.",Recommended
The Belgian Waffle Co.,"V V Puram, Shankarapura",4.5,100+ ratings,Assorted Mini Waffle Combo Pack of 6,439.05,"In the mood for variety try a carefully curated and eclectic range of some of our fan favorites. Includes our naked nutella, belgian chocolate, chcoolate overload, dark & white fantasy, red velvet, pink almond crunch all in one combo pack.",Recommended
